timestamp(ms),setpoint,measured,
"1696520180.198","0",,
"1696520180.199",,"0",
"1696520180.222","0",,
"1696520180.223",,"0",
"1696520180.244","0",,
"1696520180.245",,"0",
"1696520180.268","0",,
"1696520180.269",,"0",
"1696520180.294","0",,
"1696520180.295",,"0",
"1696520180.316","0",,
"1696520180.317",,"0",
"1696520180.337","0",,
"1696520180.338",,"0",
"1696520180.359","0",,
"1696520180.36",,"0",
"1696520180.38","0",,
"1696520180.381",,"0",
"1696520180.402","0",,
"1696520180.403",,"0",
"1696520180.424","0",,
"1696520180.425",,"0",
"1696520180.446","0",,
"1696520180.447",,"0",
"1696520180.468","0",,
"1696520180.469",,"0",
"1696520180.498","0",,
"1696520180.499",,"0",
"1696520180.523","0",,
"1696520180.524",,"0",
"1696520180.545","0",,
"1696520180.546",,"0",
"1696520180.566","0",,
"1696520180.567",,"0",
"1696520180.588","0",,
"1696520180.589",,"0",
"1696520180.61","0",,
"1696520180.611",,"0",
"1696520180.632","0",,
"1696520180.633",,"0",
"1696520180.654","0",,
"1696520180.655",,"0",
"1696520180.676","0",,
"1696520180.677",,"0",
"1696520180.703","0",,
"1696520180.704",,"0",
"1696520180.726","0",,
"1696520180.727",,"0",
"1696520180.748","0",,
"1696520180.749",,"0",
"1696520180.77","0",,
"1696520180.771",,"0",
"1696520180.793","0",,
"1696520180.794",,"0",
"1696520180.816","0",,
"1696520180.817",,"0",
"1696520180.838","0",,
"1696520180.839",,"0",
"1696520180.86","0",,
"1696520180.861",,"0",
"1696520180.882","0",,
"1696520180.883",,"0",
"1696520180.908","0",,
"1696520180.909",,"0",
"1696520180.933","0",,
"1696520180.934",,"0",
"1696520180.955","0",,
"1696520180.956",,"0",
"1696520180.977","0",,
"1696520180.978",,"0",
"1696520180.998","0",,
"1696520180.999",,"0",
"1696520181.021","0",,
"1696520181.022",,"0",
"1696520181.043","0",,
"1696520181.044",,"0",
"1696520181.065","0",,
"1696520181.066",,"0",
"1696520181.087","0",,
"1696520181.088",,"0",
"1696520181.113","0",,
"1696520181.114",,"0",
"1696520181.136","0",,
"1696520181.137",,"0",
"1696520181.157","0",,
"1696520181.158",,"0",
"1696520181.179","0",,
"1696520181.18",,"0",
"1696520181.2","0",,
"1696520181.201",,"0",
"1696520181.222","0",,
"1696520181.223",,"0",
"1696520181.244","0",,
"1696520181.245",,"0",
"1696520181.266","0",,
"1696520181.267",,"0",
"1696520181.288","0",,
"1696520181.289",,"0",
"1696520181.318","0",,
"1696520181.319",,"0",
"1696520181.341","0",,
"1696520181.342",,"0",
"1696520181.362","0",,
"1696520181.363",,"0",
"1696520181.384","0",,
"1696520181.385",,"0",
"1696520181.407","0",,
"1696520181.408",,"0",
"1696520181.43","0",,
"1696520181.431",,"0",
"1696520181.452","0",,
"1696520181.453",,"0",
"1696520181.474","0",,
"1696520181.475",,"0",
"1696520181.496","0",,
"1696520181.497",,"0",
"1696520181.523","0",,
"1696520181.524",,"0",
"1696520181.546","0",,
"1696520181.547",,"0",
"1696520181.567","0",,
"1696520181.568",,"0",
"1696520181.589","0",,
"1696520181.59",,"0",
"1696520181.612","0",,
"1696520181.613",,"0",
"1696520181.635","0",,
"1696520181.636",,"0",
"1696520181.657","0",,
"1696520181.658",,"0",
"1696520181.679","0",,
"1696520181.68",,"0",
"1696520181.701","0",,
"1696520181.702",,"0",
"1696520181.727","0",,
"1696520181.728",,"0",
"1696520181.751","0",,
"1696520181.752",,"0",
"1696520181.777","0",,
"1696520181.778",,"0",
"1696520181.798","0",,
"1696520181.799",,"0",
"1696520181.826","0",,
"1696520181.827",,"0",
"1696520181.848","0",,
"1696520181.849",,"0",
"1696520181.869","0",,
"1696520181.87",,"0",
"1696520181.89","0",,
"1696520181.891",,"0",
"1696520181.912","0",,
"1696520181.913",,"0",
"1696520181.934","0",,
"1696520181.935",,"0",
"1696520181.957","0",,
"1696520181.958",,"0",
"1696520181.983","0",,
"1696520181.984",,"0",
"1696520182.005","0",,
"1696520182.006",,"0",
"1696520182.033","0",,
"1696520182.034",,"0",
"1696520182.056","0",,
"1696520182.057",,"0",
"1696520182.078","0",,
"1696520182.079",,"0",
"1696520182.1","0",,
"1696520182.101",,"0",
"1696520182.123","0",,
"1696520182.124",,"0",
"1696520182.146","0",,
"1696520182.147",,"0",
"1696520182.168","0",,
"1696520182.169",,"0",
"1696520182.19","0",,
"1696520182.191",,"0",
"1696520182.212","0",,
"1696520182.213",,"0",
"1696520182.239","0",,
"1696520182.24",,"0",
"1696520182.263","0",,
"1696520182.264",,"0",
"1696520182.285","0",,
"1696520182.286",,"0",
"1696520182.307","0",,
"1696520182.308",,"0",
"1696520182.328","0",,
"1696520182.329",,"0",
"1696520182.35","0",,
"1696520182.351",,"0",
"1696520182.371","0",,
"1696520182.372",,"0",
"1696520182.392","0",,
"1696520182.393",,"0",
"1696520182.414","0",,
"1696520182.415",,"0",
"1696520182.447","0",,
"1696520182.448",,"0",
"1696520182.47","0",,
"1696520182.471",,"0",
"1696520182.492","0",,
"1696520182.493",,"0",
"1696520182.514","0",,
"1696520182.515",,"0",
"1696520182.554","0",,
"1696520182.555",,"0",
"1696520182.576","0",,
"1696520182.577",,"0",
"1696520182.599","0",,
"1696520182.6",,"0",
"1696520182.622","0",,
"1696520182.623",,"0",
"1696520182.649","0",,
"1696520182.65",,"0",
"1696520182.672","0",,
"1696520182.673",,"0",
"1696520182.694","0",,
"1696520182.695",,"0",
"1696520182.715","0",,
"1696520182.716",,"0",
"1696520182.754","0","0",
"1696520182.761","0",,
"1696520182.762",,"0",
"1696520182.782","0",,
"1696520182.783",,"0",
"1696520182.804","0",,
"1696520182.805",,"0",
"1696520182.825","0",,
"1696520182.826",,"0",
"1696520182.855","0",,
"1696520182.856",,"0",
"1696520182.878","0",,
"1696520182.879",,"0",
"1696520182.9","0",,
"1696520182.901",,"0",
"1696520182.922","0",,
"1696520182.923",,"0",
"1696520182.944","0",,
"1696520182.945",,"0",
"1696520182.966","0",,
"1696520182.967",,"0",
"1696520182.987","0",,
"1696520182.988",,"0",
"1696520183.008","0",,
"1696520183.009",,"0",
"1696520183.03","0",,
"1696520183.031",,"0",
"1696520183.058","0",,
"1696520183.059",,"0",
"1696520183.083","0",,
"1696520183.084",,"0",
"1696520183.104","0",,
"1696520183.105",,"0",
"1696520183.126","0",,
"1696520183.127",,"0",
"1696520183.148","0",,
"1696520183.149",,"0",
"1696520183.17","0",,
"1696520183.171",,"0",
"1696520183.192","0",,
"1696520183.193",,"0",
"1696520183.213","0",,
"1696520183.214",,"0",
"1696520183.235","0",,
"1696520183.236",,"0",
"1696520183.263","0",,
"1696520183.264",,"0",
"1696520183.306","0",,
"1696520183.307",,"0",
"1696520183.334","0","0",
"1696520183.364","0","0",
"1696520183.373","0",,
"1696520183.374",,"0",
"1696520183.395","0",,
"1696520183.396",,"0",
"1696520183.417","0",,
"1696520183.418",,"0",
"1696520183.438","0",,
"1696520183.439",,"0",
"1696520183.47","0",,
"1696520183.471",,"0",
"1696520183.493","0",,
"1696520183.494",,"0",
"1696520183.515","0",,
"1696520183.516",,"0",
"1696520183.537","0",,
"1696520183.538",,"0",
"1696520183.558","0",,
"1696520183.559",,"0",
"1696520183.581","0",,
"1696520183.582",,"0",
"1696520183.603","0",,
"1696520183.604",,"0",
"1696520183.625","0",,
"1696520183.626",,"0",
"1696520183.648","0",,
"1696520183.649",,"0",
"1696520183.675","0",,
"1696520183.676",,"0",
"1696520183.699","0",,
"1696520183.7",,"0",
"1696520183.721","0",,
"1696520183.722",,"0",
"1696520183.743","0",,
"1696520183.744",,"0",
"1696520183.775","0",,
"1696520183.776",,"0",
"1696520183.799","0",,
"1696520183.8",,"0",
"1696520183.821","0",,
"1696520183.822",,"0",
"1696520183.843","0",,
"1696520183.844",,"0",
"1696520183.864","0",,
"1696520183.865",,"0",
"1696520183.886","0",,
"1696520183.887",,"0",
"1696520183.914","0",,
"1696520183.915",,"0",
"1696520183.938","0",,
"1696520183.939",,"0",
"1696520183.96","0",,
"1696520183.962",,"0",
"1696520183.982","0",,
"1696520183.983",,"0",
"1696520184.005","0",,
"1696520184.006",,"0",
"1696520184.027","0",,
"1696520184.028",,"0",
"1696520184.049","0",,
"1696520184.05",,"0",
"1696520184.071","0",,
"1696520184.072",,"0",
"1696520184.095","0",,
"1696520184.096",,"0",
"1696520184.12","0",,
"1696520184.121",,"0",
"1696520184.142","0",,
"1696520184.143",,"0",
"1696520184.164","0",,
"1696520184.165",,"0",
"1696520184.187","0",,
"1696520184.188",,"0",
"1696520184.21","0",,
"1696520184.211",,"0",
"1696520184.231","0",,
"1696520184.232",,"0",
"1696520184.253","0",,
"1696520184.254",,"0",
"1696520184.274","0",,
"1696520184.275",,"0",
"1696520184.296","0",,
"1696520184.297",,"0",
"1696520184.318","0",,
"1696520184.319",,"0",
"1696520184.34","0",,
"1696520184.341",,"0",
"1696520184.362","0",,
"1696520184.363",,"0",
"1696520184.392","0",,
"1696520184.393",,"0",
"1696520184.417","0",,
"1696520184.418",,"0",
"1696520184.439","0",,
"1696520184.44",,"0",
"1696520184.461","0",,
"1696520184.462",,"0",
"1696520184.514","0","0",
"1696520184.538","0","0",
"1696520184.542","0",,
"1696520184.543",,"0",
"1696520184.563","0",,
"1696520184.564",,"0",
"1696520184.594","0",,
"1696520184.595",,"0",
"1696520184.618","0",,
"1696520184.619",,"0",
"1696520184.64","0",,
"1696520184.641",,"0",
"1696520184.662","0",,
"1696520184.663",,"0",
"1696520184.684","0",,
"1696520184.685",,"0",
"1696520184.706","0",,
"1696520184.707",,"0",
"1696520184.731","0",,
"1696520184.732",,"0",
"1696520184.753","0",,
"1696520184.754",,"0",
"1696520184.775","0",,
"1696520184.776",,"0",
"1696520184.801","0",,
"1696520184.802",,"0",
"1696520184.824","0",,
"1696520184.825",,"0",
"1696520184.846","0",,
"1696520184.847",,"0",
"1696520184.868","0",,
"1696520184.869",,"0",
"1696520184.889","0",,
"1696520184.89",,"0",
"1696520184.911","0",,
"1696520184.912",,"0",
"1696520184.933","0",,
"1696520184.934",,"0",
"1696520184.955","0",,
"1696520184.956",,"0",
"1696520184.977","0",,
"1696520184.978",,"0",
"1696520185.005","0",,
"1696520185.006",,"0",
"1696520185.028","0",,
"1696520185.029",,"0",
"1696520185.051","0",,
"1696520185.052",,"0",
"1696520185.074","0",,
"1696520185.075",,"0",
"1696520185.101","0",,
"1696520185.102",,"0",
"1696520185.122","0",,
"1696520185.123",,"0",
"1696520185.144","0",,
"1696520185.145",,"0",
"1696520185.166","0",,
"1696520185.167",,"0",
"1696520185.188","0",,
"1696520185.189",,"0",
"1696520185.21","0",,
"1696520185.211",,"0",
"1696520185.234","0",,
"1696520185.235",,"0",
"1696520185.255","0",,
"1696520185.256",,"0",
"1696520185.277","0",,
"1696520185.278",,"0",
"1696520185.299","0",,
"1696520185.3",,"0",
"1696520185.321","0",,
"1696520185.322",,"0",
"1696520185.343","0",,
"1696520185.344",,"0",
"1696520185.365","0",,
"1696520185.366",,"0",
"1696520185.386","0",,
"1696520185.387",,"0",
"1696520185.415","0",,
"1696520185.416",,"0",
"1696520185.437","0",,
"1696520185.438",,"0",
"1696520185.46","0",,
"1696520185.461",,"0",
"1696520185.484","0",,
"1696520185.485",,"0",
"1696520193.606",,"0",
"1696520193.627","0",,
"1696520193.628",,"0",
"1696520193.648","0",,
"1696520193.65",,"0",
"1696520193.671","0",,
"1696520193.673",,"0",
"1696520193.693","0",,
"1696520193.695",,"0",
"1696520193.716","0",,
"1696520193.718",,"0",
"1696520193.739","0",,
"1696520193.74",,"0",
"1696520193.76","0",,
"1696520193.762",,"0",
"1696520193.783","0",,
"1696520193.784",,"0",
"1696520193.81","0",,
"1696520193.812",,"0",
"1696520193.833","0",,
"1696520193.835",,"0",
"1696520193.856","0",,
"1696520193.857",,"0",
"1696520193.876","0",,
"1696520193.878",,"0",
"1696520193.898","0",,
"1696520193.9",,"0",
"1696520193.92","0",,
"1696520193.922",,"0",
"1696520193.942","0",,
"1696520193.944",,"0",
"1696520193.965","0",,
"1696520193.966",,"0",
"1696520193.986","0",,
"1696520193.988",,"0",
"1696520194.014","0",,
"1696520194.016",,"0",
"1696520194.036","0",,
"1696520194.038",,"0",
"1696520194.058","0",,
"1696520194.06",,"0",
"1696520194.081","0",,
"1696520194.082",,"0",
"1696520194.102","0",,
"1696520194.104",,"0",
"1696520194.124","0",,
"1696520194.126",,"0",
"1696520194.146","0",,
"1696520194.148",,"0",
"1696520194.168","0",,
"1696520194.17",,"0",
"1696520194.191","0",,
"1696520194.192",,"0",
"1696520194.218","0",,
"1696520194.22",,"0",
"1696520194.24","0",,
"1696520194.242",,"0",
"1696520194.262","0",,
"1696520194.264",,"0",
"1696520194.284","0",,
"1696520194.286",,"0",
"1696520194.307","0",,
"1696520194.308",,"0",
"1696520194.329","0",,
"1696520194.331",,"0",
"1696520194.351","0",,
"1696520194.353",,"0",
"1696520194.373","0",,
"1696520194.375",,"0",
"1696520194.394","0",,
"1696520194.396",,"0",
"1696520194.428","0",,
"1696520194.429",,"0",
"1696520194.457","0",,
"1696520194.459",,"0",
"1696520194.479","0",,
"1696520194.481",,"0",
"1696520194.501","0",,
"1696520194.503",,"0",
"1696520194.528","0",,
"1696520194.529",,"0",
"1696520194.551","0",,
"1696520194.553",,"0",
"1696520194.573","0",,
"1696520194.575",,"0",
"1696520194.595","0",,
"1696520194.597",,"0",
"1696520194.625","0",,
"1696520194.627",,"0",
"1696520194.648","0",,
"1696520194.649",,"0",
"1696520194.669","0",,
"1696520194.671",,"0",
"1696520194.691","0",,
"1696520194.693",,"0",
"1696520194.713","0",,
"1696520194.715",,"0",
"1696520194.736","0",,
"1696520194.738",,"0",
"1696520194.759","0",,
"1696520194.76",,"0",
"1696520194.78","0",,
"1696520194.782",,"0",
"1696520194.802","0",,
"1696520194.804",,"0",
"1696520194.831","0",,
"1696520194.833",,"0",
"1696520194.853","0",,
"1696520194.855",,"0",
"1696520194.876","0",,
"1696520194.877",,"0",
"1696520194.897","0",,
"1696520194.899",,"0",
"1696520194.919","0",,
"1696520194.921",,"0",
"1696520194.942","0",,
"1696520194.944",,"0",
"1696520194.964","0",,
"1696520194.966",,"0",
"1696520194.987","0",,
"1696520194.988",,"0",
"1696520195.008","0",,
"1696520195.01",,"0",
"1696520195.038","0",,
"1696520195.04",,"0",
"1696520195.062","0",,
"1696520195.064",,"0",
"1696520195.084","0",,
"1696520195.086",,"0",
"1696520195.107","0",,
"1696520195.108",,"0",
"1696520195.129","0",,
"1696520195.131",,"0",
"1696520195.151","0",,
"1696520195.153",,"0",
"1696520195.173","0",,
"1696520195.175",,"0",
"1696520195.195","0",,
"1696520195.197",,"0",
"1696520195.217","0",,
"1696520195.219",,"0",
"1696520195.244","0",,
"1696520195.246",,"0",
"1696520195.267","0",,
"1696520195.269",,"0",
"1696520195.289","0",,
"1696520195.291",,"0",
"1696520195.312","0",,
"1696520195.314",,"0",
"1696520195.342","0",,
"1696520195.344",,"0",
"1696520195.365","0",,
"1696520195.367",,"0",
"1696520195.387","0",,
"1696520195.389",,"0",
"1696520195.409","0",,
"1696520195.411",,"0",
"1696520195.431","0",,
"1696520195.433",,"0",
"1696520195.455","0",,
"1696520195.456",,"0",
"1696520195.476","0",,
"1696520195.478",,"0",
"1696520195.498","0",,
"1696520195.5",,"0",
"1696520195.52","0",,
"1696520195.522",,"0",
"1696520195.549","0",,
"1696520195.551",,"0",
"1696520195.573","0",,
"1696520195.574",,"0",
"1696520195.595","0",,
"1696520195.597",,"0",
"1696520195.616","0",,
"1696520195.618",,"0",
"1696520195.64","0",,
"1696520195.642",,"0",
"1696520195.662","0",,
"1696520195.664",,"0",
"1696520195.683","0",,
"1696520195.685",,"0",
"1696520195.705","0",,
"1696520195.707",,"0",
"1696520195.726","0",,
"1696520195.728",,"0",
"1696520195.756","0",,
"1696520195.758",,"0",
"1696520195.779","0",,
"1696520195.781",,"0",
"1696520195.8","0",,
"1696520195.802",,"0",
"1696520195.822","0",,
"1696520195.824",,"0",
"1696520195.844","0",,
"1696520195.846",,"0",
"1696520195.866","0",,
"1696520195.868",,"0",
"1696520195.891","0",,
"1696520195.893",,"0",
"1696520195.913","0",,
"1696520195.915",,"0",
"1696520195.935","0",,
"1696520195.937",,"0",
"1696520195.961","0",,
"1696520195.963",,"0",
"1696520195.984","0",,
"1696520195.986",,"0",
"1696520195.998","20.43",,
"1696520195.999",,"0",
"1696520196.02","20.43",,
"1696520196.021",,"0",
"1696520196.041","20.43",,
"1696520196.042",,"0",
"1696520196.065","20.43",,
"1696520196.066",,"0.4",
"1696520196.088","20.43",,
"1696520196.089",,"4.28",
"1696520196.111","20.43",,
"1696520196.112",,"6.04",
"1696520196.133","20.43",,
"1696520196.134",,"7.85",
"1696520196.161","20.43",,
"1696520196.162",,"9.45",
"1696520196.183","20.43",,
"1696520196.184",,"10.14",
"1696520196.204","20.43",,
"1696520196.205",,"10.98",
"1696520196.225","20.43",,
"1696520196.226",,"11.38",
"1696520196.247","20.43",,
"1696520196.248",,"11.51",
"1696520196.27","20.43",,
"1696520196.271",,"11.84",
"1696520196.293","20.43",,
"1696520196.294",,"11.98",
"1696520196.315","20.43",,
"1696520196.316",,"12.2",
"1696520196.337","20.43",,
"1696520196.338",,"12.37",
"1696520196.359","20.43",,
"1696520196.36",,"12.37",
"1696520196.382","20.43",,
"1696520196.383",,"12.47",
"1696520196.406","20.43",,
"1696520196.407",,"12.71",
"1696520196.427","20.43",,
"1696520196.428",,"12.73",
"1696520196.449","20.43",,
"1696520196.45",,"12.7",
"1696520196.476","20.43",,
"1696520196.477",,"12.75",
"1696520196.5","20.43",,
"1696520196.501",,"12.73",
"1696520196.522","20.43",,
"1696520196.523",,"12.64",
"1696520196.544","20.43",,
"1696520196.545",,"12.5",
"1696520196.572","20.43",,
"1696520196.573",,"12.63",
"1696520196.594","20.43",,
"1696520196.595",,"12.5",
"1696520196.615","20.43",,
"1696520196.617",,"12.6",
"1696520196.637","20.43",,
"1696520196.639",,"12.78",
"1696520196.66","20.43",,
"1696520196.662",,"12.75",
"1696520196.681","20.43",,
"1696520196.683",,"12.8",
"1696520196.705","20.43",,
"1696520196.706",,"12.83",
"1696520196.727","20.43",,
"1696520196.728",,"12.77",
"1696520196.749","20.43",,
"1696520196.75",,"12.78",
"1696520196.778","20.43",,
"1696520196.779",,"12.63",
"1696520196.801","20.43",,
"1696520196.802",,"12.64",
"1696520196.823","20.43",,
"1696520196.824",,"12.56",
"1696520196.848","20.43",,
"1696520196.849",,"12.59",
"1696520196.871","20.43",,
"1696520196.872",,"12.69",
"1696520196.893","20.43",,
"1696520196.894",,"12.56",
"1696520196.915","20.43",,
"1696520196.916",,"12.75",
"1696520196.937","20.43",,
"1696520196.938",,"12.75",
"1696520196.959","20.43",,
"1696520196.961",,"12.72",
"1696520196.985","20.43",,
"1696520196.986",,"12.71",
"1696520197.008","20.43",,
"1696520197.009",,"12.78",
"1696520197.028","20.43",,
"1696520197.03",,"12.68",
"1696520197.051","20.43",,
"1696520197.052",,"12.7",
"1696520197.073","20.43",,
